time,voltage
0.0,-11.865303251254385
0.005,-12.755106834227984
0.01,-13.503602374056312
0.015,-14.117417848649197
0.02,-14.603181235916466
0.025,-14.967520513767946
0.03,-15.217063660113464
0.035,-15.35843865286285
0.04,-15.398273469925929
0.045,-15.34319608921253
0.05,-15.199834488632478
0.055,-14.9748166460956
0.06,-14.67477053951173
0.065,-14.306324146790688
0.07,-13.876105445842306
0.075,-13.39074241457641
0.08,-12.856863030902826
0.085,-12.281095272731383
0.09,-11.670067117971906
0.095,-11.030406544534227
0.1,-10.368741530328169
0.105,-9.69170005326356
0.11,-9.005910091250232
0.115,-8.317999622198009
0.12,-7.634596624016712
0.125,-6.9623290746160675
0.13,-6.484086714338031
0.135,-6.042256387356563
0.14,-5.662380297497729
0.145,-5.339877689312366
0.15,-5.091049796930278
0.155,-4.660834670337311
0.16,-4.127104548354792
0.165,-3.9061035471755563
0.17,-3.9379654573340823
0.17500000000000002,-4.002953937590925
0.18,-4.0726847322986295
0.185,-4.11854782046818
0.19,-4.094494071597921
0.195,-4.05196274674261
0.2,-4.131208572850673
0.20500000000000002,-4.3335705731128975
0.21,-4.56746592367726
0.215,-4.741644395886402
0.22,-4.496372432230493
0.225,-3.9535005292840246
0.23,-3.925516420166849
0.23500000000000001,-4.376011719219063
0.24,-4.686211212962968
0.245,-4.767865818181696
0.25,-4.742326715317828
0.255,-4.661960736915247
0.26,-4.52779820682218
0.265,-4.339672839094792
0.27,-4.09786225861396
0.275,-3.802520046502728
0.28,-3.4513372213566975
0.28500000000000003,-3.0424372607495025
0.29,-2.4438768524809342
0.295,-1.5295495881224725
0.3,-0.559117997114213
0.305,0.07106023890825611
0.31,0.4850102879405833
0.315,0.6095077607836379
0.32,0.41178675781410945
0.325,0.39725738417502743
0.33,0.5275120006644968
0.335,0.7267068645692104
0.34,1.1198100323626474
0.34500000000000003,1.280690982308459
0.35000000000000003,1.1367043607844811
0.355,1.195623622407077
0.36,1.5650294922507866
0.365,1.6551257539995359
0.37,1.054728911679226
0.375,0.15826317318781558
0.38,-0.4051232103913703
0.385,-0.6639041826008691
0.39,-0.8684403499456772
0.395,-1.0183845227185722
0.4,-1.111131386966735
0.405,-1.146733140926389
0.41000000000000003,-1.4755392792178914
0.41500000000000004,-2.1523104067960723
0.42,-2.3845232032313572
0.425,-2.0838396487022477
0.43,-1.7604313734202353
0.435,-1.5010975256950085
0.44,-1.5154953531051074
0.445,-1.7978931548600496
0.45,-2.1197551392685448
0.455,-2.3920886421200507
0.46,-2.5846963303096815
0.465,-2.6795653602322567
0.47000000000000003,-2.655176515599926
0.47500000000000003,-2.6848954493500834
0.48,-2.981420634828396
0.485,-3.36156038407639
0.49,-3.6379255756503706
0.495,-3.807859531570754
0.5,-3.87850549304849
0.505,-3.8704521546779502
0.51,-3.785907645306865
0.515,-3.6647760618843512
0.52,-3.4991565437873087
0.525,-2.9897548262146194
0.53,-2.1575291328355153
0.535,-1.5188507683777166
0.54,-1.1627383886080067
0.545,-0.7992084771299075
0.55,-0.4733682115695792
0.555,-0.37267736106910965
0.56,-0.2987464152048208
0.5650000000000001,-0.10903379896489368
0.5700000000000001,0.1410144973040179
0.5750000000000001,0.4360029375544237
0.58,0.4922572187617664
0.585,0.2534622363777719
0.59,0.05999459485475528
0.595,-0.11305366126270341
0.6,0.023504030803761344
0.605,0.5441677375636234
0.61,0.883582704988427
0.615,0.8307774128259378
0.62,0.510580862299218
0.625,0.1941293291085151
0.63,-0.02953279896189781
0.635,-0.2338546361150935
0.64,-0.31077388644022563
0.645,-0.20099768836583487
0.65,-0.057843861944158415
0.655,-0.0055375413105907545
0.66,0.04576358676378656
0.665,0.21194606898344698
0.67,0.4832713893961171
0.675,0.5836235225638853
0.68,0.42729990605167756
0.685,0.21538064761626408
0.6900000000000001,-0.051397801058578996
0.6950000000000001,-0.11769620420699423
0.7000000000000001,0.10312001993306785
0.705,0.3349722139949531
0.71,0.5194008362903488
0.715,0.7707716955621609
0.72,1.0894706986480132
0.725,1.0445180365887499
0.73,0.3646731700543622
0.735,-0.5196811289851996
0.74,-1.0368769746708002
0.745,-1.2414550189894706
0.75,-1.393415003357638
0.755,-1.4926902471050831
0.76,-1.522713172227075
0.765,-1.4877951867645942
0.77,-1.3505122347883445
0.775,-1.0985195441756277
0.78,-1.0543396149466797
0.785,-1.31879356769714
0.79,-1.4513609193722767
0.795,-1.259817010861557
0.8,-0.8691471949309022
0.805,-0.5494556183072552
0.81,-0.49412533411026804
0.8150000000000001,-0.5056191508854793
0.8200000000000001,-0.2153206952717026
0.8250000000000001,0.4422378004192351
0.8300000000000001,1.0945260780713502
0.835,1.431472672571465
0.84,1.6050340158435539
0.845,1.7322852306380565
0.85,1.8580497925519637
0.855,2.1099491487432767
0.86,2.362653368996928
0.865,2.4179584339798508
0.87,2.2518863093667894
0.875,1.9119891198314924
0.88,1.5597607837749383
0.885,1.476253407110238
0.89,1.6071270593274058
0.895,1.8032998863192913
0.9,1.954562212463037
0.905,1.9276967534008058
0.91,1.8077277256665063
0.915,1.740893680867325
0.92,1.7405747379080296
0.925,1.771989509424447
0.93,1.76100623285074
0.935,1.6833733863001017
0.9400000000000001,1.5415823668466109
0.9450000000000001,1.3934951995182239
0.9500000000000001,1.414861263706098
0.9550000000000001,1.4899173509283283
0.96,1.3851011410003549
0.965,1.1458341255786044
0.97,0.6293376658860739
0.975,-0.18688126821452844
0.98,-0.8540722898837996
0.985,-1.175854222607934
0.99,-1.2968574718655952
0.995,-1.3581123212939707
1.0,-1.2086892476176432
1.0050000000000001,-0.7905864195233152
1.01,-0.4155124376330902
1.0150000000000001,-0.2975559879388965
1.02,-0.18816237482488768
1.025,0.1923684038878145
1.03,0.7413950896881557
1.035,1.2716916302378298
1.04,1.7935582969148993
1.045,2.401110602187546
1.05,3.0844208713585104
1.055,3.4043289789814413
1.06,3.271363266095568
1.065,3.032593925778027
1.07,2.9276286205177744
1.075,2.7725383625977633
1.08,2.3290007629880853
1.085,1.892618709598872
1.09,1.78957460144817
1.095,2.056247828959344
1.1,2.5709581498290848
1.105,3.078434021691589
1.11,3.2069770078995434
1.115,3.029528744746526
1.12,2.8547410035499574
1.125,2.598781725936626
1.1300000000000001,2.362470907159036
1.135,2.2996514120596214
1.1400000000000001,2.3629583791543736
1.145,2.4522693481212574
1.1500000000000001,2.289601801595329
1.155,1.8630959527901174
1.16,1.4765289278201057
1.165,1.2831989518180789
1.17,1.114761527058433
1.175,0.8732525663835756
1.18,0.6835307110256277
1.185,0.5938641317223945
1.19,0.4007747314103599
1.195,0.0010530510449667796
1.2,-0.39062735851649966
1.205,-0.7466862529381445
1.21,-1.2362616744018204
1.215,-1.7826267296625977
1.22,-2.364383444194524
1.225,-2.979005706054952
1.23,-3.5091381465426554
1.235,-3.6427763036190477
1.24,-3.4461496390546476
1.245,-3.479180003829823
1.25,-3.7025386424120135
1.2550000000000001,-3.9945995166782886
1.26,-4.441971289382009
1.2650000000000001,-4.812185824094781
1.27,-4.844570856231574
1.2750000000000001,-4.55012491380187
1.28,-4.1639193273019375
1.285,-3.842225115748595
1.29,-3.6001312245695103
1.295,-3.4736157337755156
1.3,-3.547757293832765
1.305,-3.7750417053694822
1.31,-3.9486459198383628
1.315,-4.115551501307396
1.32,-4.324972637419389
1.325,-4.47690779515611
1.33,-4.573665579582126
1.335,-4.625448282055591
1.34,-4.532617458156343
1.345,-4.289141010926811
1.35,-3.8801154584730195
1.355,-3.423339671634139
1.36,-3.1120820697730376
1.365,-2.9055401460413575
1.37,-2.749285436202196
1.375,-2.6960239120264697
1.3800000000000001,-2.526575172973213
1.385,-1.852526573665795
1.3900000000000001,-0.9631519818544467
1.395,-0.6025188987173453
1.4000000000000001,-0.6328494462951286
1.405,-0.41643944013202616
1.41,-0.03915534813484056
1.415,0.1333482925741285
1.42,0.12253594456813166
1.425,0.17793133055193022
1.43,0.3112395900893431
1.435,0.34428627758774966
1.44,0.20018203640839138
1.445,0.17109579460645025
1.45,0.47223941367597405
1.455,0.6092631319258839
1.46,0.14649581334239004
1.465,-0.597037418768107
1.47,-1.2018814585395075
1.475,-1.5729006789140398
1.48,-1.5273182090438717
1.485,-1.1476183602186971
1.49,-0.9920047244118204
1.495,-1.1784758821543253
1.5,-1.3899919898552322
1.5050000000000001,-1.4982761830812743
1.51,-1.4915544089283646
1.5150000000000001,-1.4135508684531541
1.52,-1.2622568348349306
1.5250000000000001,-1.0238538469791416
1.53,-0.6621688034098155
1.5350000000000001,-0.33039287398327977
1.54,-0.2800946511476351
1.545,-0.49297006510431207
1.55,-0.8387854157903716
1.555,-1.207029323356455
1.56,-1.564828212485144
1.565,-1.961673801903415
1.57,-2.424810297471751
1.575,-2.7781086216863335
1.58,-2.9392605848499835
1.585,-2.9069391989522164
1.59,-2.635472898653829
1.595,-2.0191525109775084
1.6,-1.1275118464058151
1.605,-0.5990103001579713
1.61,-0.4781448371733964
1.615,-0.43580670624989026
1.62,-0.2980937350381618
1.625,0.1231784228039997
1.6300000000000001,0.8102620026435496
1.635,1.361124829120072
1.6400000000000001,1.4598847178935177
1.645,1.3358067131501672
1.6500000000000001,1.4424621024244892
1.655,1.726622650966826
1.6600000000000001,1.7978682371247006
1.665,1.6621536625968236
1.67,1.6495644510191914
1.675,1.7694461495301719
1.68,1.8057536890590042
1.685,1.7563637121351166
1.69,1.732320095930261
1.695,1.7297391434008564
1.7,1.5915449305465779
1.705,1.2782675936933097
1.71,1.1768656539219609
1.715,1.4797671789754872
1.72,1.8913540375722389
1.725,2.2232634854258038
1.73,2.561765922988405
1.735,2.863281226847967
1.74,2.9556176566784216
1.745,2.765639530076019
1.75,2.44213376873045
1.7550000000000001,2.3779194904520686
1.76,2.5857304522224913
1.7650000000000001,2.8312261147780045
1.77,3.1099663380050138
1.7750000000000001,3.428994383514139
1.78,3.806188833499424
1.7850000000000001,4.075433141585439
1.79,4.118524505175662
1.795,4.069047616122631
1.8,4.0799987081369995
1.805,4.21853047057994
1.81,4.471833586725748
1.815,4.909012961070325
1.82,5.483777628481173
1.825,6.098537513010986
1.83,6.763603854427248
1.835,7.304093698893137
1.84,7.48257799566043
1.845,7.52114229546025
1.85,7.563470337455438
1.855,7.434252541783883
1.86,7.2814637415719305
1.865,7.1293890898830865
1.87,6.911789012779299
1.875,6.6732424555375065
1.8800000000000001,6.323813607921962
1.885,5.756827108341654
1.8900000000000001,4.911048888353068
1.895,3.910999593524336
1.9000000000000001,2.9415375285678307
1.905,2.0515865012587526
1.9100000000000001,1.3805421034751293
1.915,0.9576985227238886
1.92,0.526444253855701
1.925,-0.10553616029434221
1.93,-0.7685242891176467
1.935,-1.2416569602072043
1.94,-1.5355003054848222
1.945,-1.716514599549653
1.95,-1.8701037409270824
1.955,-2.1878925060157126
1.96,-2.604715877291957
1.965,-3.013417284952706
1.97,-3.449123175934982
1.975,-3.775838777515399
1.98,-3.931390651200517
1.985,-4.0513078889159635
1.99,-4.252644239450416
1.995,-4.22097942859511
2.0,-3.7616718477100166
2.005,-3.306692411787684
2.0100000000000002,-3.163387554914581
2.015,-3.0017100907922054
2.02,-2.5182486622598517
2.025,-1.9660487178898047
2.0300000000000002,-1.6717736392918614
2.035,-1.488099724557239
2.04,-1.2451057000495058
2.045,-0.9579845223916987
2.05,-0.35651965799066776
2.055,0.5389637882369098
2.06,1.118133675337302
2.065,1.4166261806243272
2.07,1.612277302187771
2.075,1.6298589630661762
2.08,1.5159757333747033
2.085,1.3266430431175076
2.09,1.398929856628329
2.095,2.015552354753417
2.1,2.8347686686732048
2.105,3.3035860118622784
2.11,3.3034875876565257
2.115,2.9136225537019897
2.12,2.276465397021112
2.125,1.6785682854846982
2.13,1.1770747820452097
2.1350000000000002,0.7510065615123167
2.14,0.3468522386159478
2.145,0.14419220693490553
2.15,0.21150733202219002
2.1550000000000002,0.22840855386408357
2.16,0.17807357256970233
2.165,0.01954422717175397
2.17,-0.3480612426957693
2.1750000000000003,-0.587982358199019
2.18,-0.4577568033285841
2.185,-0.358403684278381
2.19,-0.6091270676232491
2.195,-0.9072148603909544
2.2,-1.0326832422157994
2.205,-1.113236365424318
2.21,-1.0657503845921652
2.215,-0.939072988073583
2.22,-1.1013447797758897
2.225,-1.411998593666016
2.23,-1.4182257918237124
2.235,-1.1731215376713067
2.24,-1.0298992789976562
2.245,-0.9726407695660828
2.25,-1.0949182411468639
2.255,-1.5133370048123564
2.2600000000000002,-1.7595770162978255
2.265,-1.5586056473847423
2.27,-1.3973239316657304
2.275,-1.6914297030162742
2.2800000000000002,-2.2359915486005804
2.285,-2.608768873325385
2.29,-2.7876532577540267
2.295,-2.975114985361026
2.3000000000000003,-3.187653978129453
2.305,-3.550514542732422
2.31,-4.068108564368414
2.315,-4.10253688609365
2.32,-3.655351116076282
2.325,-3.240531860356846
2.33,-2.878589473788561
2.335,-2.366711509188539
2.34,-1.7165716664937367
2.345,-1.4385424128870743
2.35,-1.6618226674252101
2.355,-2.1075108828360865
2.36,-2.6382470514628764
2.365,-2.9544781573099215
2.37,-2.778438025918007
2.375,-2.396937301111639
2.38,-2.144288525243509
2.3850000000000002,-1.8731894297010923
2.39,-1.5400463945915708
2.395,-1.2405390112152768
2.4,-1.0336322161836529
2.4050000000000002,-0.958422165635813
2.41,-0.9262250682094803
2.415,-0.8552907417976692
2.42,-0.5034200351730145
2.4250000000000003,0.0687393136449973
2.43,0.37327271061218364
2.435,0.3339633249451807
2.44,0.305289995446747
2.445,0.5247004410560087
2.45,0.7656533914793872
2.455,0.7190996353108077
2.46,0.4414534927618011
2.465,0.09530766165415627
2.47,-0.19760102401875562
2.475,-0.1450322329505196
2.48,0.19530565637190195
2.485,0.34049172930432586
2.49,0.27420823664162963
2.495,0.3310041648628349
2.5,0.5350235375373069
2.505,0.8093827311943896
2.5100000000000002,1.142629995411116
2.515,1.59245518329382
2.52,2.036538120050439
2.525,2.306876690113552
2.5300000000000002,2.4884173010159283
2.535,2.5417344437513254
2.54,2.5099014148538257
2.545,2.7102438484045663
2.5500000000000003,3.2263368640009173
2.555,3.7118695859952395
2.56,3.911186282591607
2.565,3.9455079040786316
2.57,3.836250885712474
2.575,3.6651594212957264
2.58,3.821055711873061
2.585,4.136183741405865
2.59,3.9228076642254393
2.595,3.2429754696221513
2.6,2.7538350594659673
2.605,2.542190842986788
2.61,2.4951001382204145
2.615,2.566459795007359
2.62,2.7784929664714633
2.625,2.9955267306147646
2.63,3.1212147958693244
2.6350000000000002,3.2946110977099696
2.64,3.519932606752015
2.645,3.632114134013277
2.65,3.4557134874555127
2.6550000000000002,2.934996994776059
2.66,2.2489428797358926
2.665,1.7252988464761514
2.67,1.4496887084172996
2.6750000000000003,1.2559528754079217
2.68,0.9689712899693879
2.685,0.43700448493895655
2.69,-0.22488106176880873
2.695,-0.4804043609647044
2.7,-0.38667141828547125
2.705,-0.29470335082381854
2.71,-0.24394656049135155
2.715,-0.43743341633482674
2.72,-0.8636755519830626
2.725,-1.3111784021183512
2.73,-1.7116815595690251
2.735,-2.0345220484226827
2.74,-2.2321659545936257
2.745,-2.1742854259133004
2.75,-1.7495340159262525
2.755,-1.1330746473599702
2.7600000000000002,-0.6051136896741952
2.765,-0.21112893198679228
2.77,-0.3787578402735326
2.775,-1.0677344960278579
2.7800000000000002,-1.5634967059653941
2.785,-1.8472167667088022
2.79,-2.1076943478366927
2.795,-2.2506537341085417
2.8000000000000003,-2.1911447115250935
2.805,-2.1305849404505497
2.81,-2.284565038437622
2.815,-2.4777325807120594
2.82,-2.5433082967236262
2.825,-2.500942402985433
2.83,-2.446584540589585
2.835,-2.6291903062429727
2.84,-2.897003150106826
2.845,-2.6309443382978617
2.85,-1.9863677478604491
2.855,-1.588039000125757
2.86,-1.2846161488622223
2.865,-0.6223108069927276
2.87,0.30761458645270806
2.875,0.79924534852111
2.88,0.7945974311647405
2.8850000000000002,0.6021230024372183
2.89,0.3562495051442115
2.895,0.27533196090929224
2.9,0.2926892129025691
2.9050000000000002,0.3361309042477467
2.91,0.5429088841844014
2.915,0.9144806862686822
2.92,1.3450861813971386
2.9250000000000003,1.587904293762383
2.93,1.238557012755315
2.935,0.5040894683664188
2.94,0.0925605267403906
2.945,0.03867885389405712
2.95,-0.21941038753634867
2.955,-0.7547854351219677
2.96,-1.3485909308769402
2.965,-1.9821184768083646
2.97,-2.1285683067084435
2.975,-1.7316350832631584
2.98,-1.2698237562144166
2.985,-0.8452693486201543
2.99,-0.5979637716320422
2.995,-0.5335250047159673
3.0,-0.5026870287760701
3.005,-0.6014779037286208
3.0100000000000002,-0.9801167381724187
3.015,-1.5666051874349258
3.02,-2.1880611723934873
3.025,-2.507175772561851
3.0300000000000002,-2.4394857798206626
3.035,-2.2062160522090606
3.04,-2.0021567503223903
3.045,-1.991603806241263
3.0500000000000003,-2.037368151726072
3.055,-2.063223205891486
3.06,-2.2306054329978378
3.065,-2.465691282646057
3.0700000000000003,-2.5451307996030197
3.075,-2.4744863503296237
3.08,-2.324473801204516
3.085,-2.0671522787203007
3.09,-1.7102116270896282
3.095,-1.221461815409529
3.1,-0.7146829031182765
3.105,-0.3953396041827322
3.11,-0.13853626437828415
3.115,0.1654146512993142
3.12,0.2200935265541703
3.125,-0.0008978536315506769
3.13,-0.04433623987928933
3.1350000000000002,0.1031958439451391
3.14,0.38838572293177
3.145,0.846137612377241
3.15,1.341531129783712
3.1550000000000002,1.7078836967987132
3.16,1.819781833295057
3.165,1.7627606602410575
3.17,1.5991873634611993
3.1750000000000003,1.3144530773779914
3.18,1.0905375853007795
3.185,1.1620268196274892
3.19,1.4327411877892509
3.1950000000000003,1.6992164822563176
3.2,2.092161321571709
3.205,2.726076287319269
3.21,3.42473459318072
3.215,3.935675238099977
3.22,4.350396631303162
3.225,4.584242784115245
3.23,4.527191129552858
3.235,4.1633200419288405
3.24,3.571937308066169
3.245,3.4483697666853383
3.25,3.8295182670495063
3.255,4.141030717807684
3.2600000000000002,4.170411026150948
3.265,3.894475538753094
3.27,3.4807896126155002
3.275,3.175210699230042
3.2800000000000002,3.026700673698158
3.285,2.825441264463505
3.29,2.249213397095047
3.295,1.4357516456120893
3.3000000000000003,0.9684075464130489
3.305,0.9216489325280018
3.31,0.9476796298065749
3.315,0.8616914664991462
3.3200000000000003,0.5872022929158458
3.325,0.25048855800505804
3.33,0.14644998657579614
3.335,0.23575615875877992
3.34,0.21152928053642694
3.345,0.06546506331437385
3.35,0.005649007910626502
3.355,-0.08199831491248064
3.36,-0.2194789462314445
3.365,-0.18052540410737328
3.37,-0.0007956416447023468
3.375,0.16833591992887909
3.38,0.3415377812353608
3.3850000000000002,0.5129084226272125
3.39,0.615389361389209
3.395,0.5893104917426472
3.4,0.5157955744873067
3.4050000000000002,0.3144319610447207
3.41,-0.09512227759950154
3.415,-0.6121738726257857
3.42,-1.1493639634247137
3.4250000000000003,-1.5281070099486596
3.43,-1.7828125683091585
3.435,-2.0555289421503793
3.44,-2.348720883111325
3.4450000000000003,-2.388004340632483
3.45,-2.10182057694657
3.455,-1.7419367056459554
3.46,-1.5726960238976944
3.465,-1.6034252639555824
3.47,-1.6237156786392006
3.475,-1.5854501184966174
3.48,-1.6268550351935545
3.485,-1.8135532793980245
3.49,-1.9861213752187588
3.495,-2.04798277562118
3.5,-2.427947087123042
3.505,-3.1707500325325646
3.5100000000000002,-3.9226091447515854
3.515,-4.656437052385134
3.52,-4.93139296411687
3.525,-4.654687784883131
3.5300000000000002,-4.500915043280299
3.535,-4.660574313686386
3.54,-4.78447577880468
3.545,-4.6816827861924075
3.5500000000000003,-4.4284776936098105
3.555,-4.119275240149387
3.56,-3.7520503601638646
3.565,-3.4755529541403902
3.5700000000000003,-3.2695930676334903
3.575,-2.6793800691688086
3.58,-1.8148589691889159
3.585,-1.3766316071681701
3.59,-1.2657313213357018
3.595,-0.7994350121558988
3.6,0.03150582481561359
3.605,0.5238022754790507
3.61,0.5653142663725292
3.615,0.7922078179164049
3.62,1.2923720126959102
3.625,1.5456951405761772
3.63,1.4539027699374216
3.6350000000000002,1.3766679473845556
3.64,1.423493227918052
3.645,1.4620247416401102
3.65,1.5095585593915393
3.6550000000000002,1.6180477060012057
3.66,1.702431502577506
3.665,1.638493002490697
3.67,1.4070746047346214
3.6750000000000003,1.167753885146831
3.68,0.9612045676297476
3.685,0.8011852074145074
3.69,1.084414463532866
3.6950000000000003,1.7843169312171712
3.7,2.1646891814757296
3.705,2.1417929467568113
3.71,1.8719791722007026
3.715,1.3977788758417562
3.72,0.9096011932605378
3.725,0.5307051709579544
3.73,0.157269585451727
3.735,-0.33325833691203766
3.74,-0.8367947022243227
3.745,-1.1369030766928103
3.75,-1.3032892632898152
3.755,-1.4949151736654487
3.7600000000000002,-1.6110685640587754
3.765,-1.5801463661275248
3.77,-1.4566404286659702
3.775,-1.6322882876060292
3.7800000000000002,-2.155341015097809
3.785,-2.639228629537844
3.79,-2.9277582276934515
3.795,-3.08866500128129
3.8000000000000003,-3.1920091115297633
3.805,-2.978519768168831
3.81,-2.413162880902754
3.815,-1.818727096474629
3.8200000000000003,-1.3998644161521268
3.825,-1.2815087151321414
3.83,-1.5450876088281256
3.835,-2.016181559182572
3.84,-2.246935307159463
3.845,-2.1925864030478324
3.85,-2.1665695088073886
3.855,-2.1909803310051985
3.86,-1.9503069691891042
3.865,-1.426219139763872
3.87,-1.0721643407684744
3.875,-1.0020482658607681
3.88,-0.9538497054554721
3.8850000000000002,-0.7287199526726419
3.89,-0.3960684576637046
3.895,-0.15266832080784465
3.9,-0.10429722413129117
3.9050000000000002,-0.16882990667565043
3.91,-0.16881861147126093
3.915,-0.11004273132486486
3.92,-0.09896311772593636
3.9250000000000003,0.0143042500025935
3.93,0.3249298300905829
3.935,0.7241038976885965
3.94,1.17824767807392
3.9450000000000003,1.3626664086381188
3.95,1.253693463137774
3.955,1.4809449523829183
3.96,2.023663986628684
3.9650000000000003,2.5980281295568934
3.97,3.1970839350411393
3.975,3.494907547162327
3.98,3.4843390327193795
3.985,3.4314857326695742
3.99,3.396869734651742
3.995,3.340612478501226
4.0,3.2124843699686223
4.005,3.029002801885999
4.01,2.897403209811268
4.015,2.7615864176083393
4.0200000000000005,2.430156438996972
4.025,1.968450896209709
4.03,1.6015300658482658
4.035,1.359510523111831
4.04,1.388634751597513
4.045,1.6553457944491214
4.05,1.8296149756741873
4.055,1.9437011214025284
4.0600000000000005,1.9285208603864366
4.065,1.6715955563223805
4.07,1.5388920261346442
4.075,1.575271936619457
4.08,1.4243707963016021
4.085,1.1111864307396466
4.09,0.8595129388710203
4.095,0.7509320883830027
4.1,0.7566059151876433
4.105,0.7974528181877341
4.11,0.9334533862730162
4.115,1.2099994912835488
4.12,1.4623927541327426
4.125,1.4202473224534886
4.13,1.2060049863930804
4.135,1.4212360856270438
4.14,1.9993921009571345
4.1450000000000005,2.196936715341915
4.15,2.001309378231243
4.155,2.072399068439319
4.16,2.4825168386304406
4.165,2.6499344760815644
4.17,2.3947278664895157
4.175,2.2428739728035962
4.18,2.4808344118206342
4.1850000000000005,2.7726340066651587
4.19,2.8841044604737007
4.195,3.08998888563524
4.2,3.6081688553835387
4.205,4.130889055076354
4.21,4.101439547630429
4.215,3.684517589411709
4.22,3.4412942377040974
4.225,3.263018872557149
4.23,3.155229117806435
4.235,3.166491912695612
4.24,2.878680685472435
4.245,2.3049448837557813
4.25,1.9032121654630518
4.255,1.6616274251781245
4.26,1.5111632778784183
4.265,1.454720565405237
4.2700000000000005,1.2555184217559927
4.275,0.8725356254258563
4.28,0.5810321033427109
4.285,0.4931575040203603
4.29,0.41468069818260805
4.295,0.09859819109262671
4.3,-0.3963592787934398
4.305,-0.7661460770632829
4.3100000000000005,-0.9188252101486271
4.315,-0.8449232585061345
4.32,-0.626437483449552
4.325,-0.8840437492543888
4.33,-1.6553806926450807
4.335,-2.1683023412146594
4.34,-2.274530853795991
4.345,-2.228766620218219
4.3500000000000005,-2.1288925369801714
4.355,-1.8497290112573546
4.36,-1.3776685016799415
4.365,-1.0834555451828058
4.37,-1.2134861293213182
4.375,-1.5105140474609173
4.38,-1.56969034665955
4.385,-1.3410318965244774
4.39,-1.0904990887999575
4.3950000000000005,-0.937418940875977
4.4,-0.588734161441166
4.405,-0.026329868278574642
4.41,0.2244146740918569
4.415,0.14938785152388745
4.42,0.252158171012699
4.425,0.6170547732172338
4.43,0.9045365371568466
4.4350000000000005,0.9649356871336631
4.44,0.8995127570994694
4.445,0.894345653782356
